Base Item	Armor Name	Slot	Aura Strength	Caster Level	Price	Weight	Description	Construction
Shield, tower	Battlement Shield	Shield	Moderate conjuration	9th	16,180 gp	45 lbs	Once per day on command, this +2 tower shield can transform into a solid, 10-foot by 10-foot by 1-foot wall of masonry with a battlement on top and an arrow slit in each 5-foot length. The wall acts as cover just like any physical wall. The wielder can touch the wall with one hand and command it to revert to a tower shield either resting on the ground and balanced against his hand or strapped to his arm in the normal fashion. The wall has all the characteristics of any other foot-thick wall of masonry (hardness 8, 90 hit points, break DC of 35). Attacks sufficient to destroy the wall cause it to immediately transform back into a shield, which loses half its hit points and gains the broken condition. The shield remains in wall form until destroyed or commanded to return to shield form. The wall cannot appear in a space too small to accommodate it.	Craft Magic Arms and Armor, wall of stone; Cost 8,180 gp
Shield, tower	Fortress Shield	Shield	Moderate conjuration	11th	19,180 gp	45 lbs	The wearer of this +1 tower shield may, as a full-round action, transform the shield into a 1-inch thick cube of iron that springs into being around him, completely enclosing his space. The cube has hardness 10 and 30 hit points per side. This cube grants the wearer total cover against everything outside the cube, including (as it is perfectly sealed) swarms and gas attacks. The inside of the cube is dark, and air cannot get in or out so the wearer must hold his breath starting on the third round after activating the cube. Attacks sufficient to destroy one side of the cube cause it to immediately transform back into a shield, which loses half its hit points and gains the broken condition. Otherwise, the cube reverts to shield form upon command, if the wearer moves from his current space, or the wearer falls unconscious or dies.	Craft Magic Arms and Armor, wall of iron; Cost 9,680 gp
breastplate	Adamantine Breastplate	Armor	no aura (nonmagical)	-	10,200 gp	30 lbs	This nonmagical breastplate is made of adamantine, giving its wearer damage reduction of 2/—	-
banded mail	Banded Mail of Luck	Armor	strong enchantment	12th	18,900 gp	35 lbs	Ten 100-gp gems adorn this +3 banded mail. Once per week, the armor allows its wearer to require that an attack roll made against him be rerolled. He must take whatever consequences come from the second roll. The wearer's player must decide whether to have the attack roll rerolled before damage is rolled.	Craft Magic Arms and Armor, bless; Cost 9,650 gp
breastplate	Breastplate of Command	Armor	strong enchantment	15th	25,400 gp	30 lbs	This +2 breastplate bestows a commanding aura upon its wearer. The wearer gains a +2 competence bonus on all Charisma checks, including Charisma-based skill checks. The wearer also gains a +2 competence bonus to his Leadership score. Friendly troops within 360 feet of the user become braver than normal, gaining a +2 resistance bonus on saving throws against fear. Since the effect arises in great part from the distinctiveness of the armor, it does not function if the wearer hides or conceals herself in any way.	Craft Magic Arms and Armor, mass charm monster; Cost 12,875 gp
chainmail	Celestral Armor	Armor	faint transmutation [good]	5th	22,400 gp	20 lbs	This bright silver or gold +3 chainmail is so fine and light that it can be worn under normal clothing without betraying its presence. It has a maximumDexterity bonus of +8, an armor check penalty of –2, and an arcane spell failure chance of 15%. It is considered light armor and allows the wearer to usefly on command (as the spell) once per day.	Craft Magic Arms and Armor, fly, creator must be good; Cost 11,350 gp
full plate	Demon Armor	Armor	strong necromancy [evil]	13th	52,260 gp	50 lbs	This plate armor is fashioned to make the wearer appear to be a demon. The helmet is shaped to look like a horned demon head, and its wearer looks out of the open, tooth-filled mouth. This +4 full plate allows the wearer to make claw attacks that deal 1d10 points of damage, strike as +1 weapons, and afflict the target as if she had been struck by a contagion spell (Fortitude DC 14 negates). Use of contagion requires a normal melee attack with the claws. The “claws” are built into the armor's vambraces and gauntlets, and cannot be disarmed. A suit of demon armor is infused with evil, and as a result it bestows one negative level on any nonevil creature wearing it. This negative level persists as long as the armor is worn and disappears when the armor is removed. The negative level cannot be overcome in any way (including restoration spells) while the armor is worn.	Craft Magic Arms and Armor, contagion; Cost 26,955 gp
full plate	Dwarven Plate	Armor	-	-	16,500 gp	50 lbs	This full plate is made of adamantine, giving its wearer damage reduction of 3/—	-
full plate	Dragonhide Armor	Armor	-	-	3,300 gp	50 lbs	This suit of full plate is made of dragonhide, rather than metal, so druids can wear it. It is otherwise identical to masterwork full plate	-
chainmail	Elven Chain	Armor	-	-	5,150 gp	20 lbs	This extremely light chainmail is made of very fine mithral links. This armor is treated, in all ways, like light armor, including when determining proficiency. The armor has an arcane spell failure chance of 20%, a maximum Dexterity bonus of +4, and an armor check penalty of –2.	-
full plate	Mithral Fullplate of Speed	Armor	faint transmutation	5th	26,500 gp	25 lbs	As a free action, the wearer of this fine set of +1 mithral full plate can activate it, enabling him to act as though affected by a haste spell for up to 10 rounds each day. The duration of the haste effect need not be consecutive rounds. The armor has an arcane spell failure chance of 25%, a maximum Dexterity bonus of +3, and an armor check penalty of –3. It is considered medium armor, except that you must be proficient in heavy armor to avoid taking nonproficiency penalties.	Craft Magic Arms and Armor, haste; Cost 18,500 gp
chain shirt	Mithral Shirt	Armor	-	-	1,100 gp	10 lbs	This extremely light chain shirt is made of very fine mithral links. The armor has an arcane spell failure chance of 10%, a maximum Dexterity bonus of +6, and no armor check penalty. It is considered light armor.	-
full plate	Plate Armor of the Deep	Armor	moderate abjuration	11th	24,650 gp	50 lbs	This +1 full plate is decorated with a wave and fish motif. Although the armor remains as heavy and bulky as normal full plate, the wearer of plate armor of the deep is treated as unarmored for purposes of Swim checks. The wearer can breathe underwater and can converse with any water-breathing creature with a language.	Craft Magic Arms and Armor, freedom of movement, tongues, water breathing; Cost 13,150 gp
Hide	Rhino Armor	Armor	moderate transmutation	9th	5,165 gp	25 lbs	This +2 hide armor is made from rhinoceros hide. In addition to granting a +2 enhancement bonus to AC, it has a –1 armor check penalty and deals an additional 2d6 points of damage on any successful charge attack made by the wearer, including a mounted charge.	Craft Magic Arms and Armor, bull's strength; Cost 2,665 gp
Shield, heavy steel	Absorbing Shield	Shield	strong transmutation	17th	50,170 gp	15 lbs	This +1 heavy steel shield is made of metal, but its color is flat black that seems to absorb light. Once every 2 days, on command, it can disintegrate an object that it touches, as the spell but requiring a melee touch attack. This effect only functions as an attack—it can't be activated to target a creature or weapon as it strikes the shield.	Craft Magic Arms and Armor, disintegrate; Cost 25,170 gp
Shield, light wooden	Caster's Shield	Shield	moderate abjuration	6th	3,153 gp (plus the value of the scroll spell if one is currently scribed)	5 lbs	This +1 light wooden shield has a leather strip on the back on which a spellcaster can scribe a single spell as on a scroll. A spell so scribed requires half the normal cost in raw materials. The strip cannot accommodate spells of higher than 3rd level. The strip is reusable. A random caster's shield has a 50% chance of having a single medium scroll spell on it. The spell is divine (01–80 on d%) or arcane (81–100). A caster's shield has a 5% arcane spell failure chance.	Craft Magic Arms and Armor, Scribe Scroll, creator must be at least 6th level; Cost 1,653 gp
Shield, light wooden	Darkwood Buckler	Shield	-	-	203 gp	2.5 lbs	This nonmagical light wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.	-
Shield, heavy steel	Lion's Shield	Shield	moderate conjuration	10th	9,170 gp	15 lbs	This +2 heavy steel shield is fashioned to appear to be a roaring lion's head. Three times per day as a free action, the lion's head can be commanded to attack (independently of the shield wearer), biting with the wielder's base attack bonus (including multiple attacks, if the wielder has them) and dealing 2d6 points of damage. This attack is in addition to any actions performed by the wielder.	Craft Magic Arms and Armor, summon nature's ally IV; Cost 4,670 gp
Shield, heavy steel	Mithral Heavy Shield	Shield	-	-	1,020 gp	5 lbs	This heavy shield is made of mithral and thus is much lighter than a standard steel shield. It has a 5% arcane spell failure chance and no armor check penalty.	-
Shield, heavy steel	Spined Shield	Shield	moderate evocation	6th	5,580 gp	15 lbs	This +1 heavy steel shield is covered in spines. It acts as a normal spiked shield. On command up to three times per day, the shield's wearer can fire one of the shield's spines. A fired spine has a +1 enhancement bonus, a range increment of 120 feet, and deals 1d10 points of damage (19–20/x2). Fired spinesregenerate each day.	Craft Magic Arms and Armor, magic missile; Cost 2,875 gp
Shield, heavy wooden	Winged Shield	Shield	faint transmutation	5th	17,257 gp	10 lbs	This heavy wooden shield has a +3 enhancement bonus. Arching bird wings are carved into the face of the shield. Once per day, it can be commanded tofly (as the spell), carrying the wielder. The shield can carry up to 133 pounds and move at 60 feet per round, or up to 266 pounds and move at 40 feet per round.	Craft Magic Arms and Armor, fly; Cost 8,707 gp
